dealer_name,city,state,website,phone,email,source_url,decision_maker_name,decision_maker_title,notes,confidence,email_type
Fast Start Auto,Midvale,UT,https://faststartauto.com,(801) 753-9063,fsainfo@faststartauto.com,https://www.bbb.org/us/ut/midvale/profile/new-car-dealers/fast-start-auto-1166-90036288,David Arnold,Owner/Principal,BBB confirms owner/address match. Email is dealer's published general inbox.,Medium,general
Rogers Auto Sales,Ogden,UT,https://rogersautoutah.com,801-782-5809,rogersautoutah@gmail.com,BBB profile + Cars.com/Yelp/ZoomInfo corroboration,Matt Rogers,Owner,Site 403'd direct fetch; email sourced from aggregated directory data. Family business since 1937.,Medium,direct
Beutler Auto Sales,Clearfield,UT,https://beutlerautosales.net,801-825-0307,teamb59@gmail.com,BBB profile + Cars.com/KBB/Yellow Pages/DealerRater,John Beutler,President,Site 403'd direct fetch; email consistently returned across directory searches. Long-running independent lot.,Medium,direct
Adams Motors,Price,UT,https://www.adamsmotor.net/,(435) 637-3365,amsprice@hotmail.com,https://www.bbb.org/us/ut/price/profile/used-car-dealers/adams-motor-company-1166-13000996,Tom Adams / Anna Adams,Owners,"Family-owned lot, 57 yrs in business. Site live but bot-protected; email via aggregated directory listings.",Medium,general
Crazy Lady Auto,Richfield,UT,https://www.crazyladyauto.com/,(435) 893-8179,info@crazyladyauto.com,https://www.chamberofcommerce.com/business-directory/utah/richfield/used-car-dealer/43587771-crazy-lady-auto,Dustin Anderson,Manager,"Independent lot since 1998, buys lease returns/trade-ins. Site blocks fetch; email via chamber directory + BBB.",Medium,general
Price Check Auto / Vantage Automotive LLC,Centerfield,UT,https://www.vantageut.com/,(435) 314-0041,pricecheckauto@yahoo.com,https://chamberofcommerce.com/united-states/utah/centerfield/auto-dealers-used-cars/2002609662-price-check-auto,Kade Bushnell / Lance Bushnell / Connor Bushnell,Co-Owners,"Independent lot serving central Utah, all-credit financing. Some past BBB mail returned undeliverable (2020) -- confirm current mailing details before physical outreach.",Medium,general
Investment Auto Group,Brigham City,UT,https://www.investautos.com,435-695-2277,investautos9@gmail.com,https://www.bbb.org/us/ut/brigham-city/profile/used-car-dealers/investment-automotive-group-leasing-llc-1166-22014349,Micah Robinson,Owner,"Independent multi-brand dealer since 2004. Email sourced via directory aggregator; current live site surfaces a different location's content, not directly confirmed.",Medium,general
"Tapia Auto Sales, LLC",Cedar City,UT,https://tapiaautosalesllc.com,(435) 867-8915,tapia.autosales.cedarcity@gmail.com,https://www.southernutahlocal.com/biz/1106/tapia-auto-sales-llc,,,"Independent pre-owned lot, extends coverage into Iron County. Directory listing matches Google index of dealer contact page.",Medium,general
Express Auto & Tire,North Logan,UT,https://www.expressautoandtire.com,435-563-4095,expressautoandtire@gmail.com,https://www.expressautoandtire.com/,,,BHPH used car/truck/SUV lot + tire shop (~30 units). Two research passes disagreed on confidence; kept medium to be conservative.,Medium,general
K & S Auto Sales,Smithfield,UT,https://kandsautosales2017.com,(435) 535-3028,kandsautosales2017@gmail.com,https://www.powersports.com/dealer/k-s-auto-sales-smithfield-ut,,,Independent lot. Email found via syndicated dealer listing; dealer's own domain returned 403 to direct fetch.,Medium,general
Absolute Auto Sales,Roy,UT,https://absoluteautosalesutah.com,801-392-9032,bzaascars@gmail.com,"Aggregated directory listings (Manta, MotoMiner, AutosToday)",,,Site had TLS cert mismatch; email sourced from directory aggregation.,Medium,direct
Auto Club,Lindon,UT,https://autoclubutah.com,(385) 842-1510,autoclub.ut@gmail.com,https://autoclubutah.com / facebook.com/autoclubutah,,,Independent used lot. Email corroborated via search index; direct fetch did not surface it.,Medium,general
